x,y,z,pct_inside,center_lat,center_lon,towns,ruling
4924,6117,14,24.64,41.418015,-71.795654,North Stonington,
4851,6139,14,24.81,41.054501,-73.399658,Norwalk,out
4844,6122,14,25.08,41.335575,-73.553467,Ridgefield,
4839,6142,14,25.3,41.004775,-73.66333,Greenwich,
4876,6079,14,25.31,42.041133,-72.850342,Granby,
4899,6126,14,26.04,41.269549,-72.344971,Old Saybrook,
4908,6124,14,26.16,41.302571,-72.147217,Waterford,
4845,6108,14,26.22,41.566141,-73.531494,Sherman,
4846,6092,14,27.49,41.828641,-73.509521,Sharon,
4845,6141,14,29.34,41.021355,-73.531494,Stamford,
4875,6079,14,29.35,42.041133,-72.872314,Hartland; Granby,
4881,6127,14,29.52,41.253032,-72.740479,Branford; Guilford,
4874,6079,14,30.32,42.041133,-72.894287,Hartland,
4841,6133,14,30.81,41.153842,-73.619385,Stamford,
4899,6125,14,30.91,41.286062,-72.344971,Old Saybrook; Old Lyme,
4844,6123,14,30.96,41.319075,-73.553467,Ridgefield,
4860,6133,14,30.96,41.153842,-73.201904,Bridgeport,
4873,6079,14,31.26,42.041133,-72.91626,Hartland,
4846,6140,14,32.11,41.03793,-73.509521,Stamford,
4872,6079,14,32.19,42.041133,-72.938232,Hartland,
4868,6130,14,32.74,41.203456,-73.026123,Milford,
4877,6127,14,32.84,41.253032,-72.828369,Branford,
4924,6081,14,32.89,42.008488,-71.795654,Thompson,
4871,6079,14,33.13,42.041133,-72.960205,Hartland,
4844,6124,14,33.35,41.302571,-73.553467,Ridgefield,
4845,6109,14,33.52,41.5497,-73.531494,Sherman,
4837,6138,14,33.62,41.071069,-73.707275,Greenwich,
4846,6130,14,33.64,41.203456,-73.509521,New Canaan,
4870,6079,14,34.06,42.041133,-72.982178,Hartland,
4846,6093,14,34.25,41.812267,-73.509521,Sharon,
4841,6142,14,34.7,41.004775,-73.619385,Greenwich,
4924,6082,14,34.99,41.99216,-71.795654,Thompson,
4869,6079,14,35.52,42.041133,-73.00415,Hartland; Colebrook,
4849,6139,14,35.87,41.054501,-73.443604,Norwalk; Darien,
4906,6123,14,36.26,41.319075,-72.191162,East Lyme; Waterford,
4924,6083,14,36.34,41.975827,-71.795654,Thompson,
4924,6084,14,37.69,41.95949,-71.795654,Thompson,
4922,6118,14,38.43,41.401535,-71.8396,Stonington; North Stonington,
4868,6079,14,38.46,42.041133,-73.026123,Colebrook,
4924,6085,14,39.04,41.943148,-71.795654,Thompson,
4910,6124,14,39.36,41.302571,-72.103271,Waterford; New London,
4845,6126,14,39.48,41.269549,-73.531494,Ridgefield,
4845,6110,14,40.81,41.533254,-73.531494,Sherman,
4846,6094,14,41.08,41.795888,-73.509521,Sharon; Kent,
4878,6127,14,41.22,41.253032,-72.806396,Branford,
4924,6086,14,41.24,41.926803,-71.795654,Putnam; Thompson,
4867,6079,14,41.52,42.041133,-73.048096,Colebrook,
4903,6125,14,41.92,41.286062,-72.25708,Old Lyme,
4887,6126,14,43.15,41.269549,-72.608643,Madison,
4923,6080,14,43.3,42.024813,-71.817627,Thompson,
4862,6133,14,43.56,41.153842,-73.157959,Stratford; Bridgeport,
4924,6087,14,44.21,41.910453,-71.795654,Putnam; Killingly,
4922,6080,14,44.49,42.024813,-71.8396,Thompson,
4924,6116,14,44.51,41.43449,-71.795654,North Stonington,
4853,6136,14,44.54,41.10419,-73.355713,Westport,
4866,6079,14,45.13,42.041133,-73.070068,Colebrook,
4888,6126,14,45.13,41.269549,-72.58667,Madison,
4893,6126,14,45.69,41.269549,-72.476807,Westbrook; Clinton,
4921,6080,14,45.69,42.024813,-71.861572,Thompson,
4920,6080,14,46.91,42.024813,-71.883545,Thompson,
4924,6088,14,47.18,41.894099,-71.795654,Killingly; Putnam,
4845,6111,14,47.39,41.516803,-73.531494,New Fairfield; Sherman,
4838,6135,14,47.7,41.120745,-73.685303,Greenwich,
4846,6095,14,47.9,41.779504,-73.509521,Kent,
4924,6115,14,47.97,41.450961,-71.795654,North Stonington,
4915,6123,14,48.84,41.319075,-71.993408,Groton,
4839,6141,14,48.96,41.021355,-73.66333,Greenwich,
4865,6079,14,48.96,42.041133,-73.092041,Colebrook,
4919,6080,14,49.62,42.024813,-71.905518,Thompson,
4890,6127,14,49.71,41.253032,-72.542725,Madison; Clinton,
4924,6089,14,50.15,41.877741,-71.795654,Killingly,
4843,6132,14,50.37,41.170384,-73.575439,Stamford,
4923,6117,14,50.47,41.418015,-71.817627,North Stonington,
4844,6141,14,50.55,41.021355,-73.553467,Greenwich; Stamford,
4847,6079,14,50.73,42.041133,-73.487549,Salisbury,
4848,6139,14,51.17,41.054501,-73.465576,Darien,
4899,6124,14,51.41,41.302571,-72.344971,Old Lyme; Old Saybrook,
4924,6114,14,51.43,41.467428,-71.795654,North Stonington,
4886,6126,14,51.84,41.269549,-72.630615,Madison,
4857,6135,14,52.1,41.120745,-73.267822,Fairfield,
4864,6079,14,52.78,42.041133,-73.114014,Colebrook,
4876,6127,14,53.02,41.253032,-72.850342,Branford; East Haven,
4888,6080,14,53.1,42.024813,-72.58667,Enfield,
4918,6080,14,53.12,42.024813,-71.92749,Thompson,
4924,6090,14,53.12,41.861379,-71.795654,Killingly,
4920,6122,14,53.45,41.335575,-71.883545,Stonington,
4845,6112,14,53.54,41.500349,-73.531494,New Fairfield,
4847,6080,14,54.18,42.024813,-73.487549,Salisbury,
4846,6096,14,54.65,41.763117,-73.509521,Kent,
4924,6113,14,54.9,41.483891,-71.795654,North Stonington,
4847,6129,14,55.11,41.219985,-73.487549,Wilton; New Canaan,
4843,6142,14,55.85,41.004775,-73.575439,Greenwich,
4924,6091,14,56.05,41.845012,-71.795654,Killingly,
4863,6079,14,56.61,42.041133,-73.135986,Norfolk; Colebrook,
4917,6080,14,56.63,42.024813,-71.949463,Thompson; Woodstock,
4922,6122,14,57.3,41.335575,-71.8396,Stonington,
4847,6081,14,57.63,42.008488,-73.487549,Salisbury,
4924,6112,14,58.36,41.500349,-71.795654,North Stonington; Voluntown,
4924,6092,14,59.08,41.828641,-71.795654,Killingly,
4846,6097,14,59.53,41.746725,-73.509521,Kent,
4845,6113,14,59.75,41.483891,-73.531494,New Fairfield,
4916,6080,14,60.13,42.024813,-71.971436,Woodstock; Thompson,
4862,6079,14,60.43,42.041133,-73.157959,Norfolk,
4897,6126,14,60.81,41.269549,-72.388916,Old Saybrook,
4911,6123,14,60.82,41.319075,-72.081299,Groton; New London,
4864,6133,14,61.62,41.153842,-73.114014,Stratford,
4924,6111,14,61.82,41.516803,-71.795654,Voluntown,
4869,6129,14,61.94,41.219985,-73.00415,Milford,
4909,6124,14,62.21,41.302571,-72.125244,Waterford,
4924,6093,14,62.29,41.812267,-71.795654,Killingly,
4847,6082,14,62.32,41.99216,-73.487549,Salisbury,
4915,6080,14,62.82,42.024813,-71.993408,Woodstock,
4880,6081,14,63.52,42.008488,-72.762451,Suffield,
4914,6080,14,63.72,42.024813,-72.015381,Woodstock,
4871,6127,14,63.84,41.253032,-72.960205,West Haven,
4861,6079,14,64.26,42.041133,-73.179932,Norfolk,
4913,6080,14,64.54,42.024813,-72.037354,Woodstock,
4865,6131,14,64.9,41.186922,-73.092041,Milford,
4924,6110,14,65.28,41.533254,-71.795654,Voluntown,
4846,6098,14,65.32,41.73033,-73.509521,Kent,out
4924,6094,14,65.49,41.795888,-71.795654,Killingly,
4912,6080,14,65.59,42.024813,-72.059326,Woodstock,
4845,6114,14,65.96,41.467428,-73.531494,New Fairfield,
4917,6122,14,66.16,41.335575,-71.949463,Stonington,
4885,6126,14,68.04,41.269549,-72.652588,Madison; Guilford,
4860,6079,14,68.08,42.041133,-73.201904,Norfolk,
4847,6083,14,68.33,41.975827,-73.487549,Salisbury,
4913,6123,14,68.65,41.319075,-72.037354,Groton,
4924,6109,14,68.74,41.5497,-71.795654,Voluntown,
4924,6095,14,68.95,41.779504,-71.795654,Killingly; Sterling,
4904,6124,14,69.31,41.302571,-72.235107,East Lyme,
4880,6126,14,69.83,41.269549,-72.762451,Branford,
4870,6128,14,69.84,41.236511,-72.982178,West Haven; Milford,
4911,6080,14,69.9,42.024813,-72.081299,Woodstock,
4902,6125,14,69.93,41.286062,-72.279053,Old Lyme,
4840,6134,14,70.56,41.137296,-73.641357,Greenwich; Stamford,
4845,6115,14,71.28,41.450961,-73.531494,New Fairfield; Danbury,
4887,6080,14,71.49,42.024813,-72.608643,Suffield; Enfield,
4872,6126,14,71.64,41.269549,-72.938232,West Haven,
4924,6096,14,71.89,41.763117,-71.795654,Sterling,
4859,6079,14,71.96,42.041133,-73.223877,Norfolk; North Canaan,
4918,6122,14,72.03,41.335575,-71.92749,Stonington,
4874,6127,14,72.12,41.253032,-72.894287,New Haven; East Haven,
4846,6099,14,72.13,41.71393,-73.509521,Kent,
4924,6108,14,72.19,41.566141,-71.795654,Voluntown,
4845,6131,14,72.36,41.186922,-73.531494,New Canaan,
4912,6123,14,72.7,41.319075,-72.059326,Groton,
4838,6139,14,72.71,41.054501,-73.685303,Greenwich,
4922,6120,14,72.73,41.368564,-71.8396,Stonington,
4924,6097,14,74.16,41.746725,-71.795654,Sterling,
4847,6084,14,74.47,41.95949,-73.487549,Salisbury,
4892,6126,14,74.49,41.269549,-72.498779,Clinton; Westbrook,
4851,6137,14,74.53,41.087632,-73.399658,Norwalk,
4910,6080,14,75.31,42.024813,-72.103271,Union; Woodstock,
4922,6119,14,75.4,41.385051,-71.8396,Stonington,
4898,6126,14,75.48,41.269549,-72.366943,Old Saybrook,
4924,6107,14,75.65,41.582579,-71.795654,Voluntown,
4855,6135,14,76.14,41.120745,-73.311768,Westport,
4858,6079,14,76.27,42.041133,-73.24585,North Canaan; Norfolk,
4846,6127,14,76.32,41.253032,-73.509521,Ridgefield,
4924,6098,14,76.43,41.73033,-71.795654,Sterling,
4840,6142,14,76.6,41.004775,-73.641357,Greenwich,
4884,6126,14,76.84,41.269549,-72.674561,Guilford,
4922,6121,14,77.72,41.352072,-71.8396,Stonington,
4866,6130,14,77.86,41.203456,-73.070068,Milford,
4845,6116,14,78.08,41.43449,-73.531494,Danbury; New Fairfield,
4846,6100,14,78.93,41.697525,-73.509521,Kent,
4924,6106,14,79.01,41.599013,-71.795654,Voluntown,
4924,6099,14,79.12,41.71393,-71.795654,Sterling,
4863,6133,14,80.54,41.153842,-73.135986,Stratford,
4857,6079,14,80.6,42.041133,-73.267822,North Canaan,
4909,6080,14,80.71,42.024813,-72.125244,Union,
4907,6123,14,80.78,41.319075,-72.169189,Waterford; East Lyme,
4874,6126,14,81.37,41.269549,-72.894287,New Haven; East Haven,
