"Town1","Town2","crossed"
"East Haddam","Salem",TRUE
"East Hampton","Glastonbury",FALSE
"East Hampton","Haddam",TRUE
"East Hampton","Marlborough",TRUE
"East Hampton","Middletown",FALSE
"East Hampton","Portland",TRUE
"East Hartford","Glastonbury",TRUE
"East Hartford","Hartford",TRUE
"East Hartford","Manchester",TRUE
"East Hartford","South Windsor",TRUE
"East Hartford","Wethersfield",FALSE
"East Haven","New Haven",TRUE
"East Haven","North Branford",TRUE
"East Haven","North Haven",TRUE
"East Lyme","Lyme",TRUE
"East Lyme","Montville",TRUE
"East Lyme","Old Lyme",TRUE
"East Lyme","Salem",TRUE
"East Lyme","Waterford",TRUE
"East Windsor","Ellington",TRUE
"East Windsor","Enfield",TRUE
"East Windsor","South Windsor",TRUE
"East Windsor","Windsor",FALSE
"East Windsor","Windsor Locks",TRUE
"Eastford","Hampton",TRUE
"Eastford","Pomfret",TRUE
"Eastford","Union",TRUE
"Eastford","Woodstock",TRUE
"Easton","Fairfield",TRUE
"Easton","Monroe",TRUE
"Easton","Newtown",TRUE
"Easton","Redding",TRUE
"Easton","Trumbull",TRUE
"Easton","Weston",TRUE
"Ellington","Enfield",TRUE
"Ellington","Somers",TRUE
"Ellington","South Windsor",FALSE
"Ellington","Stafford",TRUE
"Ellington","Tolland",TRUE
"Ellington","Vernon",TRUE
"Ellington","Willington",TRUE
"Enfield","Somers",TRUE
"Enfield","Suffield",TRUE
"Enfield","Windsor Locks",FALSE
"Essex","Lyme",TRUE
"Essex","Old Lyme",FALSE
"Essex","Old Saybrook",TRUE
"Essex","Westbrook",TRUE
"Fairfield","Trumbull",TRUE
"Fairfield","Weston",TRUE
"Fairfield","Westport",TRUE
"Farmington","New Britain",TRUE
"Farmington","Newington",FALSE
"Farmington","Plainville",TRUE
"Farmington","West Hartford",TRUE
"Franklin","Lebanon",TRUE
"Franklin","Norwich",TRUE
"Franklin","Scotland",FALSE
"Franklin","Sprague",TRUE
"Franklin","Windham",TRUE
"Glastonbury","Hebron",TRUE
"Glastonbury","Manchester",FALSE
"Glastonbury","Marlborough",TRUE
"Glastonbury","Portland",TRUE
"Glastonbury","Rocky Hill",TRUE
"Glastonbury","Wethersfield",TRUE
"Goshen","Litchfield",TRUE
"Goshen","Norfolk",TRUE
"Goshen","Torrington",TRUE
"Goshen","Warren",TRUE
"Goshen","Winchester",TRUE
"Granby","Hartland",TRUE
"Granby","Simsbury",TRUE
"Granby","Suffield",TRUE
"Greenwich","Stamford",TRUE
"Griswold","Lisbon",TRUE
"Griswold","North Stonington",TRUE
"Griswold","Plainfield",TRUE
"Griswold","Preston",TRUE
"Griswold","Voluntown",TRUE
"Groton","Ledyard",TRUE
"Groton","New London",TRUE
"Groton","Stonington",TRUE
"Groton","Waterford",FALSE
"Guilford","Madison",TRUE
"Guilford","North Branford",TRUE
"Haddam","Killingworth",TRUE
"Haddam","Middletown",TRUE
"Hamden","New Haven",TRUE
"Hamden","North Haven",TRUE
"Hamden","Wallingford",TRUE
"Hamden","Woodbridge",TRUE
"Hampton","Pomfret",TRUE
"Hampton","Scotland",TRUE
"Hartford","Newington",FALSE
"Hartford","South Windsor",FALSE
"Hartford","West Hartford",TRUE
"Hartford","Wethersfield",TRUE
"Hartford","Windsor",TRUE
"Harwinton","Litchfield",TRUE
"Harwinton","New Hartford",TRUE
"Harwinton","Plymouth",TRUE
"Harwinton","Thomaston",TRUE
"Harwinton","Torrington",TRUE
"Hebron","Lebanon",TRUE
"Hebron","Marlborough",TRUE
"Kent","New Milford",TRUE
"Kent","Sharon",TRUE
"Kent","Sherman",TRUE
"Kent","Warren",TRUE
"Kent","Washington",TRUE
"Killingly","Plainfield",TRUE
"Killingly","Pomfret",TRUE
"Killingly","Putnam",TRUE
"Killingly","Sterling",TRUE
"Killingworth","Madison",TRUE
"Killingworth","Westbrook",FALSE
"Lebanon","Salem",FALSE
"Lebanon","Windham",TRUE
"Ledyard","Montville",TRUE
"Ledyard","North Stonington",TRUE
"Ledyard","Preston",TRUE
"Ledyard","Stonington",FALSE
"Ledyard","Waterford",FALSE
"Lisbon","Norwich",TRUE
"Lisbon","Preston",FALSE
"Lisbon","Sprague",TRUE
"Litchfield","Morris",TRUE
"Litchfield","Thomaston",TRUE
"Litchfield","Torrington",TRUE
"Litchfield","Warren",TRUE
"Litchfield","Washington",FALSE
"Lyme","Old Lyme",TRUE
"Lyme","Old Saybrook",FALSE
"Lyme","Salem",TRUE
"Manchester","South Windsor",TRUE
"Manchester","Vernon",TRUE
"Mansfield","Willington",TRUE
"Mansfield","Windham",TRUE
"Meriden","Middlefield",TRUE
"Meriden","Middletown",TRUE
"Meriden","Southington",TRUE
"Meriden","Wallingford",TRUE
"Middlebury","Naugatuck",TRUE
"Middlebury","Oxford",TRUE
"Middlebury","Southbury",TRUE
"Middlebury","Waterbury",TRUE
"Middlebury","Watertown",TRUE
"Middlebury","Woodbury",TRUE
"Middlefield","Middletown",TRUE
"Middlefield","Wallingford",TRUE
"Middletown","Portland",TRUE
"Milford","Orange",TRUE
"Milford","Shelton",FALSE
"Milford","Stratford",TRUE
"Milford","West Haven",TRUE
"Monroe","Newtown",TRUE
"Monroe","Oxford",TRUE
"Monroe","Shelton",TRUE
"Monroe","Trumbull",TRUE
"Montville","Norwich",TRUE
"Montville","Preston",TRUE
"Montville","Salem",TRUE
"Montville","Waterford",TRUE
"Morris","Thomaston",TRUE
"Morris","Washington",TRUE
"Morris","Watertown",TRUE
"Naugatuck","Oxford",TRUE
"Naugatuck","Prospect",TRUE
"Naugatuck","Waterbury",TRUE
"New Britain","Newington",TRUE
"New Britain","Plainville",TRUE
"New Britain","Southington",TRUE
"New Canaan","Norwalk",TRUE
"New Canaan","Stamford",TRUE
"New Canaan","Wilton",TRUE
"New Fairfield","New Milford",FALSE
"New Fairfield","Sherman",TRUE
"New Hartford","Torrington",TRUE
"New Hartford","Winchester",FALSE
"New Haven","North Haven",TRUE
"New Haven","Orange",FALSE
"New Haven","West Haven",TRUE
"New Haven","Woodbridge",TRUE
"New London","Waterford",TRUE
"New Milford","Roxbury",FALSE
"New Milford","Sherman",TRUE
"New Milford","Washington",TRUE
"Newington","Rocky Hill",FALSE
"Newington","West Hartford",TRUE
"Newington","Wethersfield",FALSE
"Newtown","Oxford",TRUE
"Newtown","Redding",TRUE
"Newtown","Southbury",TRUE
"Norfolk","North Canaan",TRUE
"Norfolk","Winchester",TRUE
"North Branford","North Haven",FALSE
"North Branford","Wallingford",TRUE
"North Canaan","Salisbury",FALSE
"North Haven","Wallingford",TRUE
"North Stonington","Preston",TRUE
"North Stonington","Stonington",TRUE
"North Stonington","Voluntown",TRUE
"Norwalk","Westport",TRUE
"Norwalk","Wilton",TRUE
"Norwich","Preston",TRUE
"Norwich","Sprague",TRUE
"Old Lyme","Old Saybrook",TRUE
"Old Saybrook","Westbrook",TRUE
"Orange","Shelton",TRUE
"Orange","West Haven",TRUE
"Orange","Woodbridge",TRUE
"Oxford","Seymour",TRUE
"Oxford","Shelton",FALSE
"Oxford","Southbury",TRUE
"Plainfield","Sterling",TRUE
"Plainfield","Voluntown",FALSE
"Plainville","Southington",TRUE
"Plymouth","Thomaston",TRUE
"Plymouth","Waterbury",FALSE
"Plymouth","Wolcott",FALSE
"Pomfret","Putnam",TRUE
"Pomfret","Woodstock",TRUE
"Prospect","Waterbury",TRUE
"Putnam","Thompson",TRUE
"Putnam","Woodstock",TRUE
"Redding","Ridgefield",TRUE
"Redding","Weston",TRUE
"Redding","Wilton",TRUE
"Ridgefield","Wilton",TRUE
"Rocky Hill","Wethersfield",TRUE
"Roxbury","Southbury",TRUE
"Roxbury","Washington",TRUE
"Roxbury","Woodbury",TRUE
"Salisbury","Sharon",TRUE
"Scotland","Sprague",TRUE
"Scotland","Windham",TRUE
"Seymour","Shelton",TRUE
"Seymour","Woodbridge",TRUE
"Shelton","Stratford",TRUE
"Shelton","Trumbull",TRUE
"Somers","Stafford",TRUE
"South Windsor","Vernon",FALSE
"South Windsor","Windsor",TRUE
"Southbury","Woodbury",TRUE
"Southington","Wolcott",TRUE
"Stafford","Union",TRUE
"Stafford","Willington",TRUE
"Sterling","Voluntown",TRUE
