Date,Town,Number,Status,Strava
2021-10-10,Newington,77,Complete,https://www.strava.com/activities/6092934056
2021-10-13,Morris,71,Complete,https://www.strava.com/activities/6106680640
2021-10-14,Harwinton,78,Started,https://www.strava.com/activities/6111791317
2021-10-18,Barkhamsted,79,Started,https://www.strava.com/activities/6132037160
2021-10-18,Winchester,80,Started,https://www.strava.com/activities/6132037160
2021-10-18,New Hartford,81,Complete,https://www.strava.com/activities/6132037160
2021-10-18,Winchester,80,Complete,https://www.strava.com/activities/6133000706
2021-10-18,Colebrook,82,Complete,https://www.strava.com/activities/6133000706
2021-10-21,Harwinton,78,Complete,https://www.strava.com/activities/6147682038
2021-10-23,North Haven,83,Complete,https://www.strava.com/activities/6156753768
2021-10-23,Wallingford,84,Complete,https://www.strava.com/activities/6156753768
2021-10-23,Meriden,85,Complete,https://www.strava.com/activities/6156753768
2021-10-27,Middlefield,86,Complete,https://www.strava.com/activities/6175995302
2021-10-31,Portland,87,Started,https://www.strava.com/activities/6193632231
2021-10-31,Middletown,88,Complete,https://www.strava.com/activities/6193632231
2021-10-31,Durham,89,Complete,https://www.strava.com/activities/6193632231
2021-11-03,Killingworth,90,Started,https://www.strava.com/activities/6205745189
2021-11-04,Barkhamsted,79,Complete,https://www.strava.com/activities/6212484623
2021-11-06,Old Saybrook,91,Started,https://www.strava.com/activities/6219798807
2021-11-06,Essex,92,Complete,https://www.strava.com/activities/6219798807
2021-11-18,Burlington,93,Started,https://www.strava.com/activities/6274439219
2021-11-20,Suffield,8,Complete,https://www.strava.com/activities/6284333651
2021-11-23,Granby,10,Complete,https://www.strava.com/activities/6297828686
2021-11-23,Hartland,94,Complete,https://www.strava.com/activities/6297828686
2021-11-24,Deep River,95,Complete,https://www.strava.com/activities/6302714696
2021-11-24,Chester,96,Started,https://www.strava.com/activities/6302714696
2021-11-24,Cromwell,97,Started,https://www.strava.com/activities/6302714517
2021-11-27,New London,98,Started,https://www.strava.com/activities/6313998594
2021-11-27,Waterford,99,Complete,https://www.strava.com/activities/6313998594
2021-11-27,East Lyme,100,Complete,https://www.strava.com/activities/6313998594
2021-11-27,Old Lyme,101,Complete,https://www.strava.com/activities/6313998594
2021-11-27,Old Saybrook,91,Complete,https://www.strava.com/activities/6313998594
2021-12-03,Cromwell,97,Complete,https://www.strava.com/activities/6337854725
2021-12-04,Canton,102,Started,https://www.strava.com/activities/6342724426
2021-12-07,Burlington,93,Complete,https://www.strava.com/activities/6354335185
2021-12-09,Haddam,103,Complete,https://www.strava.com/activities/6364029463
2021-12-09,Chester,96,Complete,https://www.strava.com/activities/6364029463
2021-12-10,Canton,102,Complete,https://www.strava.com/activities/6366199613
2021-12-11,Bolton,104,Complete,https://www.strava.com/activities/6372093089
2021-12-15,Norfolk,105,Complete,https://www.strava.com/activities/6388405678
2021-12-15,Canaan,106,Complete,https://www.strava.com/activities/6388405678
2021-12-15,Salisbury,107,Complete,https://www.strava.com/activities/6388405678
2021-12-27,Kent,108,Started,https://www.strava.com/activities/6434869777
2021-12-31,East Haddam,109,Complete,https://www.strava.com/activities/6452951813
2021-12-31,East Hampton,110,Complete,https://www.strava.com/activities/6452951813
2021-12-31,Portland,87,Complete,https://www.strava.com/activities/6452951813
2022-01-02,Killingworth,90,Complete,https://www.strava.com/activities/6462446087
2022-01-03,New London,98,Complete,https://www.strava.com/activities/6467687852
2022-01-03,Groton,111,Started,https://www.strava.com/activities/6467687852
2022-01-03,Ledyard,112,Complete,https://www.strava.com/activities/6467687852
2022-01-03,Preston,113,Started,https://www.strava.com/activities/6467687852
2022-01-03,Norwich,114,Started,https://www.strava.com/activities/6467687852
2022-01-23,Berlin,115,Complete,https://www.strava.com/activities/6570553055
2022-02-27,Windham,116,Complete,https://www.strava.com/activities/6749193270
2022-02-27,Scotland,117,Complete,https://www.strava.com/activities/6749193270
2022-02-27,Canterbury,118,Started,https://www.strava.com/activities/6749193270
2022-02-27,Sprague,119,Complete,https://www.strava.com/activities/6749193270
2022-02-27,Norwich,114,Complete,https://www.strava.com/activities/6749193270
2022-03-05,Manchester,120,Complete,https://www.strava.com/activities/6778352021
