lat,long,extra 
40.710,-73.790,0
40.710,-73.810,0
40.770,-73.770,0
40.990,-73.650,0
41.010,-73.530,0
41.010,-73.570,0
41.010,-73.610,0
41.010,-73.630,0
41.010,-73.650,0
41.010,-73.670,0
41.030,-73.470,0
41.030,-73.510,0
41.030,-73.530,0
41.030,-73.550,0
41.030,-73.570,0
41.030,-73.590,0
41.030,-73.610,0
41.030,-73.630,0
41.030,-73.650,0
41.030,-73.670,0
41.050,-73.470,0
41.050,-73.490,0
41.050,-73.510,0
41.050,-73.530,0
41.050,-73.550,0
41.050,-73.570,0
41.050,-73.590,0
41.050,-73.610,0
41.050,-73.630,0
41.050,-73.650,0
41.050,-73.670,0
41.050,-73.690,0
41.070,-73.430,0
41.070,-73.450,0
41.070,-73.470,0
41.070,-73.490,0
41.070,-73.510,0
41.070,-73.530,0
41.070,-73.550,0
41.070,-73.570,0
41.070,-73.590,0
41.070,-73.610,0
41.070,-73.630,0
41.070,-73.650,0
41.070,-73.670,0
41.070,-73.690,0
41.070,-73.710,0
41.090,-73.410,0
41.090,-73.430,0
41.090,-73.450,0
41.090,-73.470,0
41.090,-73.490,0
41.090,-73.510,0
41.090,-73.530,0
41.090,-73.550,0
41.090,-73.570,0
41.090,-73.590,0
41.090,-73.610,0
41.090,-73.630,0
41.090,-73.650,0
41.090,-73.670,0
41.090,-73.690,0
41.090,-73.710,0
41.090,-73.730,0
41.110,-73.270,0
41.110,-73.310,0
41.110,-73.330,0
41.110,-73.350,0
41.110,-73.370,0
41.110,-73.390,0
41.110,-73.410,0
41.110,-73.430,0
41.110,-73.450,0
41.110,-73.470,0
41.110,-73.490,0
41.110,-73.510,0
41.110,-73.530,0
41.110,-73.550,0
41.110,-73.570,0
41.110,-73.590,0
41.110,-73.610,0
41.110,-73.630,0
41.110,-73.650,0
41.110,-73.670,0
41.110,-73.690,0
41.110,-73.710,0
41.110,-73.730,0
41.130,-73.230,0
41.130,-73.250,0
41.130,-73.270,0
41.130,-73.290,0
41.130,-73.310,0
41.130,-73.330,0
41.130,-73.350,0
41.130,-73.370,0
41.130,-73.390,0
41.130,-73.410,0
41.130,-73.430,0
41.130,-73.450,0
41.130,-73.470,0
41.130,-73.490,0
41.130,-73.510,0
41.130,-73.530,0
41.130,-73.550,0
41.130,-73.570,0
41.130,-73.590,0
41.130,-73.610,0
41.130,-73.630,0
41.130,-73.650,0
41.130,-73.670,0
41.130,-73.910,0
41.130,-73.930,0
41.150,-73.110,0
41.150,-73.130,0
41.150,-73.150,0
41.150,-73.170,0
41.150,-73.190,0
41.150,-73.210,0
41.150,-73.230,0
41.150,-73.250,0
41.150,-73.270,0
41.150,-73.290,0
41.150,-73.310,0
41.150,-73.330,0
41.150,-73.350,0
41.150,-73.370,0
41.150,-73.390,0
41.150,-73.410,0
41.150,-73.430,0
41.150,-73.450,0
