lat,long,extra 
40.7150,-73.7970,0
40.7150,-73.7990,0
40.7150,-73.8010,0
40.7170,-73.7970,0
40.7170,-73.7990,0
40.7170,-73.8010,0
40.7710,-73.7670,0
40.7710,-73.7690,0
40.7730,-73.7670,0
40.7730,-73.7690,0
40.7730,-73.7710,0
40.7750,-73.7670,0
40.7750,-73.7690,0
40.7750,-73.7710,0
40.9950,-73.6550,0
40.9950,-73.6570,0
40.9950,-73.6590,0
40.9970,-73.6530,0
40.9970,-73.6550,0
40.9970,-73.6570,0
40.9990,-73.6490,0
40.9990,-73.6510,0
40.9990,-73.6530,0
41.0010,-73.6490,0
41.0010,-73.6610,0
41.0010,-73.6630,0
41.0010,-73.6650,0
41.0030,-73.6490,0
41.0030,-73.6570,0
41.0030,-73.6590,0
41.0030,-73.6610,0
41.0030,-73.6630,0
41.0030,-73.6650,0
41.0050,-73.6470,0
41.0050,-73.6490,0
41.0050,-73.6570,0
41.0050,-73.6590,0
41.0070,-73.6450,0
41.0070,-73.6470,0
41.0070,-73.6550,0
41.0070,-73.6570,0
41.0090,-73.6450,0
41.0090,-73.6550,0
41.0110,-73.6230,0
41.0110,-73.6430,0
41.0110,-73.6450,0
41.0110,-73.6550,0
41.0130,-73.6210,0
41.0130,-73.6230,0
41.0130,-73.6430,0
41.0130,-73.6550,0
41.0130,-73.6570,0
41.0150,-73.6230,0
41.0150,-73.6410,0
41.0150,-73.6430,0
41.0150,-73.6570,0
41.0170,-73.6210,0
41.0170,-73.6230,0
41.0170,-73.6390,0
41.0170,-73.6410,0
41.0170,-73.6450,0
41.0170,-73.6470,0
41.0170,-73.6490,0
41.0170,-73.6510,0
41.0170,-73.6570,0
41.0190,-73.5610,0
41.0190,-73.5630,0
41.0190,-73.6190,0
41.0190,-73.6210,0
41.0190,-73.6230,0
41.0190,-73.6390,0
41.0190,-73.6430,0
41.0190,-73.6450,0
41.0190,-73.6490,0
41.0190,-73.6510,0
41.0190,-73.6570,0
41.0190,-73.6590,0
41.0210,-73.5590,0
41.0210,-73.5610,0
41.0210,-73.5630,0
41.0210,-73.5650,0
41.0210,-73.6070,0
41.0210,-73.6090,0
41.0210,-73.6110,0
41.0210,-73.6130,0
41.0210,-73.6150,0
41.0210,-73.6170,0
41.0210,-73.6190,0
41.0210,-73.6210,0
41.0210,-73.6230,0
41.0210,-73.6250,0
41.0210,-73.6270,0
41.0210,-73.6290,0
41.0210,-73.6310,0
41.0210,-73.6330,0
41.0210,-73.6350,0
41.0210,-73.6370,0
41.0210,-73.6390,0
41.0210,-73.6410,0
41.0210,-73.6430,0
41.0210,-73.6490,0
41.0210,-73.6510,0
41.0210,-73.6550,0
41.0210,-73.6570,0
41.0210,-73.6590,0
41.0230,-73.5590,0
41.0230,-73.5650,0
41.0230,-73.6050,0
41.0230,-73.6070,0
41.0230,-73.6150,0
41.0230,-73.6170,0
41.0230,-73.6270,0
41.0230,-73.6350,0
41.0230,-73.6370,0
41.0230,-73.6390,0
41.0230,-73.6510,0
41.0230,-73.6530,0
41.0230,-73.6550,0
41.0230,-73.6570,0
41.0230,-73.6590,0
41.0230,-73.6610,0
41.0250,-73.5570,0
41.0250,-73.5590,0
41.0250,-73.5650,0
41.0250,-73.5670,0
41.0250,-73.6050,0
41.0250,-73.6250,0
41.0250,-73.6270,0
41.0250,-73.6330,0
41.0250,-73.6350,0
41.0250,-73.6370,0
41.0250,-73.6570,0
41.0250,-73.6590,0
41.0250,-73.6610,0
41.0250,-73.6630,0
41.0250,-73.6650,0
41.0250,-73.6670,0
41.0270,-73.5570,0
41.0270,-73.5670,0
41.0270,-73.5830,0
41.0270,-73.5850,0
41.0270,-73.5870,0
41.0270,-73.6030,0
41.0270,-73.6050,0
41.0270,-73.6250,0
41.0270,-73.6270,0
41.0270,-73.6290,0
41.0270,-73.6310,0
41.0270,-73.6330,0
41.0270,-73.6350,0
41.0270,-73.6370,0
41.0270,-73.6390,0
41.0270,-73.6590,0
41.0270,-73.6610,0
41.0270,-73.6630,0
41.0270,-73.6650,0
41.0270,-73.6670,0
41.0270,-73.6690,0
41.0270,-73.6710,0
41.0290,-73.5550,0
41.0290,-73.5570,0
41.0290,-73.5670,0
41.0290,-73.5730,0
41.0290,-73.5750,0
41.0290,-73.5770,0
41.0290,-73.5790,0
41.0290,-73.5810,0
41.0290,-73.5830,0
41.0290,-73.5870,0
41.0290,-73.5890,0
41.0290,-73.5990,0
41.0290,-73.6010,0
41.0290,-73.6030,0
41.0290,-73.6270,0
41.0290,-73.6290,0
41.0290,-73.6310,0
41.0290,-73.6330,0
41.0290,-73.6350,0
41.0290,-73.6370,0
41.0290,-73.6390,0
41.0290,-73.6410,0
41.0290,-73.6610,0
41.0290,-73.6630,0
41.0290,-73.6690,0
41.0290,-73.6710,0
41.0310,-73.5530,0
41.0310,-73.5550,0
41.0310,-73.5670,0
41.0310,-73.5690,0
41.0310,-73.5710,0
41.0310,-73.5730,0
41.0310,-73.5870,0
41.0310,-73.5890,0
41.0310,-73.5970,0
41.0310,-73.5990,0
41.0310,-73.6270,0
41.0310,-73.6310,0
41.0310,-73.6330,0
41.0310,-73.6350,0
41.0310,-73.6370,0
41.0310,-73.6390,0
41.0310,-73.6410,0
41.0310,-73.6430,0
41.0310,-73.6630,0
41.0310,-73.6650,0
41.0310,-73.6690,0
41.0310,-73.6710,0
41.0330,-73.5230,0
41.0330,-73.5250,0
41.0330,-73.5270,0
41.0330,-73.5330,0
41.0330,-73.5350,0
41.0330,-73.5470,0
41.0330,-73.5490,0
41.0330,-73.5510,0
41.0330,-73.5530,0
41.0330,-73.5870,0
41.0330,-73.5890,0
41.0330,-73.5970,0
41.0330,-73.6250,0
41.0330,-73.6270,0
41.0330,-73.6330,0
41.0330,-73.6430,0
41.0330,-73.6450,0
41.0330,-73.6650,0
41.0330,-73.6710,0
41.0330,-73.6730,0
41.0350,-73.5230,0
41.0350,-73.5250,0
41.0350,-73.5270,0
41.0350,-73.5290,0
41.0350,-73.5310,0
41.0350,-73.5330,0
41.0350,-73.5470,0
41.0350,-73.5870,0
41.0350,-73.5950,0
41.0350,-73.5970,0
41.0350,-73.6230,0
41.0350,-73.6250,0
41.0350,-73.6330,0
41.0350,-73.6350,0
41.0350,-73.6370,0
41.0350,-73.6390,0
41.0350,-73.6450,0
41.0350,-73.6470,0
41.0350,-73.6490,0
41.0350,-73.6650,0
41.0350,-73.6670,0
41.0350,-73.6730,0
41.0350,-73.6750,0
41.0370,-73.5230,0
41.0370,-73.5250,0
41.0370,-73.5270,0
41.0370,-73.5290,0
