lat,long,extra 
40.725,-73.775,0
40.725,-73.825,0
40.775,-73.775,0
40.975,-73.625,0
40.975,-73.675,0
41.025,-73.525,0
41.025,-73.575,0
41.025,-73.625,0
41.025,-73.675,0
41.075,-73.425,0
41.075,-73.475,0
41.075,-73.525,0
41.075,-73.575,0
41.075,-73.625,0
41.075,-73.675,0
41.075,-73.725,0
41.125,-73.125,0
41.125,-73.225,0
41.125,-73.275,0
41.125,-73.325,0
41.125,-73.375,0
41.125,-73.425,0
41.125,-73.475,0
41.125,-73.525,0
41.125,-73.575,0
41.125,-73.625,0
41.125,-73.675,0
41.125,-73.725,0
41.125,-73.925,0
41.175,-73.075,0
41.175,-73.125,0
41.175,-73.175,0
41.175,-73.225,0
41.175,-73.275,0
41.175,-73.325,0
41.175,-73.375,0
41.175,-73.425,0
41.175,-73.475,0
41.175,-73.525,0
41.175,-73.575,0
41.225,-72.525,0
41.225,-72.875,0
41.225,-72.975,0
41.225,-73.025,0
41.225,-73.075,0
41.225,-73.125,0
41.225,-73.175,0
41.225,-73.225,0
41.225,-73.275,0
41.225,-73.325,0
41.225,-73.375,0
41.225,-73.425,0
41.225,-73.475,0
41.225,-73.525,0
41.275,-72.325,0
41.275,-72.375,0
41.275,-72.425,0
41.275,-72.475,0
41.275,-72.525,0
41.275,-72.575,0
41.275,-72.625,0
41.275,-72.675,0
41.275,-72.725,0
41.275,-72.775,0
41.275,-72.825,0
41.275,-72.875,0
41.275,-72.925,0
41.275,-72.975,0
41.275,-73.025,0
41.275,-73.075,0
41.275,-73.125,0
41.275,-73.175,0
41.275,-73.225,0
41.275,-73.275,0
41.275,-73.325,0
41.275,-73.375,0
41.275,-73.425,0
41.275,-73.475,0
41.275,-73.525,0
41.325,-71.825,0
41.325,-71.875,0
41.325,-71.925,0
41.325,-71.975,0
41.325,-72.025,0
41.325,-72.075,0
41.325,-72.125,0
41.325,-72.175,0
41.325,-72.225,0
41.325,-72.275,0
41.325,-72.325,0
41.325,-72.375,0
41.325,-72.425,0
41.325,-72.475,0
41.325,-72.525,0
41.325,-72.575,0
41.325,-72.625,0
41.325,-72.675,0
41.325,-72.725,0
41.325,-72.775,0
41.325,-72.825,0
41.325,-72.875,0
41.325,-72.925,0
41.325,-72.975,0
41.325,-73.025,0
41.325,-73.075,0
41.325,-73.125,0
41.325,-73.175,0
41.325,-73.225,0
41.325,-73.275,0
41.325,-73.325,0
41.325,-73.375,0
41.325,-73.425,0
41.325,-73.475,0
41.325,-73.525,0
41.325,-73.575,0
41.375,-71.825,0
41.375,-71.875,0
41.375,-71.925,0
41.375,-71.975,0
41.375,-72.025,0
41.375,-72.075,0
41.375,-72.125,0
41.375,-72.175,0
41.375,-72.225,0
41.375,-72.275,0
41.375,-72.325,0
41.375,-72.375,0
41.375,-72.425,0
41.375,-72.475,0
41.375,-72.525,0
41.375,-72.575,0
41.375,-72.625,0
41.375,-72.675,0
41.375,-72.725,0
41.375,-72.775,0
41.375,-72.825,0
41.375,-72.875,0
41.375,-72.925,0
41.375,-72.975,0
41.375,-73.025,0
41.375,-73.075,0
41.375,-73.125,0
41.375,-73.175,0
41.375,-73.225,0
41.375,-73.275,0
41.375,-73.325,0
41.375,-73.375,0
41.375,-73.425,0
41.375,-73.475,0
41.375,-73.525,0
41.425,-71.825,0
41.425,-71.875,0
41.425,-71.925,0
41.425,-71.975,0
41.425,-72.025,0
41.425,-72.075,0
41.425,-72.125,0
41.425,-72.175,0
41.425,-72.225,0
41.425,-72.275,0
41.425,-72.325,0
41.425,-72.375,0
41.425,-72.425,0
41.425,-72.475,0
41.425,-72.525,0
41.425,-72.575,0
41.425,-72.625,0
41.425,-72.675,0
41.425,-72.725,0
41.425,-72.775,0
41.425,-72.825,0
41.425,-72.875,0
41.425,-72.925,0
41.425,-72.975,0
41.425,-73.025,0
41.425,-73.075,0
41.425,-73.125,0
41.425,-73.175,0
41.425,-73.225,0
41.425,-73.275,0
41.425,-73.325,0
41.425,-73.375,0
41.425,-73.425,0
41.425,-73.475,0
41.475,-71.825,0
41.475,-71.875,0
41.475,-71.925,0
41.475,-71.975,0
41.475,-72.025,0
41.475,-72.075,0
41.475,-72.175,0
41.475,-72.225,0
41.475,-72.275,0
41.475,-72.325,0
41.475,-72.375,0
41.475,-72.425,0
41.475,-72.475,0
41.475,-72.525,0
41.475,-72.575,0
41.475,-72.625,0
41.475,-72.675,0
41.475,-72.725,0
41.475,-72.775,0
41.475,-72.825,0
41.475,-72.875,0
41.475,-72.925,0
41.475,-72.975,0
41.475,-73.025,0
41.475,-73.075,0
41.475,-73.125,0
41.475,-73.175,0
41.475,-73.225,0
41.475,-73.275,0
41.475,-73.325,0
41.475,-73.375,0
41.475,-73.425,0
41.475,-73.475,0
41.475,-73.525,0
41.525,-71.825,0
41.525,-71.875,0
41.525,-71.925,0
41.525,-71.975,0
41.525,-72.025,0
41.525,-72.075,0
41.525,-72.125,0
41.525,-72.175,0
41.525,-72.225,0
41.525,-72.275,0
41.525,-72.325,0
41.525,-72.425,0
41.525,-72.475,0
41.525,-72.525,0
41.525,-72.575,0
41.525,-72.625,0
41.525,-72.675,0
41.525,-72.725,0
41.525,-72.775,0
41.525,-72.825,0
41.525,-72.875,0
41.525,-72.925,0
41.525,-72.975,0
41.525,-73.025,0
41.525,-73.075,0
41.525,-73.125,0
41.525,-73.175,0
41.525,-73.225,0
41.525,-73.275,0
41.525,-73.325,0
41.525,-73.375,0
41.525,-73.425,0
41.525,-73.475,0
41.575,-71.825,0
41.575,-71.875,0
41.575,-71.925,0
41.575,-71.975,0
41.575,-72.025,0
41.575,-72.075,0
41.575,-72.175,0
41.575,-72.225,0
41.575,-72.275,0
41.575,-72.325,0
41.575,-72.375,0
41.575,-72.425,0
41.575,-72.475,0
41.575,-72.525,0
41.575,-72.575,0
41.575,-72.625,0
41.575,-72.675,0
41.575,-72.725,0
41.575,-72.775,0
41.575,-72.825,0
41.575,-72.875,0
41.575,-72.925,0
41.575,-72.975,0
41.575,-73.025,0
41.575,-73.075,0
41.575,-73.125,0
41.575,-73.175,0
41.575,-73.225,0
41.575,-73.275,0
