lat,long,extra 
26.5575,-81.9115,0
26.5575,-81.9125,0
26.5575,-81.9135,0
26.5575,-81.9145,0
26.5575,-81.9155,0
26.5575,-81.9165,0
26.5575,-81.9175,0
26.5575,-81.9185,0
26.5575,-81.9195,0
26.5585,-81.9105,0
26.5585,-81.9115,0
26.5585,-81.9195,0
26.5585,-81.9205,0
26.5585,-81.9215,0
26.5585,-81.9225,0
26.5585,-81.9235,0
26.5595,-81.9095,0
26.5595,-81.9105,0
26.5595,-81.9235,0
26.5595,-81.9245,0
26.5595,-81.9255,0
26.5605,-81.9085,0
26.5605,-81.9095,0
26.5605,-81.9255,0
26.5605,-81.9265,0
26.5605,-81.9275,0
26.5605,-81.9285,0
26.5615,-81.9075,0
26.5615,-81.9085,0
26.5615,-81.9285,0
26.5615,-81.9295,0
26.5615,-81.9305,0
26.5615,-81.9315,0
26.5625,-81.9075,0
26.5625,-81.9315,0
26.5625,-81.9325,0
26.5625,-81.9335,0
26.5625,-81.9345,0
26.5625,-81.9355,0
26.5625,-81.9365,0
26.5625,-81.9375,0
26.5625,-81.9385,0
26.5625,-81.9395,0
26.5625,-81.9405,0
26.5625,-81.9415,0
26.5625,-81.9425,0
26.5625,-81.9435,0
26.5625,-81.9445,0
26.5625,-81.9455,0
26.5625,-81.9465,0
26.5625,-81.9475,0
26.5625,-81.9485,0
26.5625,-81.9495,0
26.5625,-81.9505,0
26.5625,-81.9515,0
26.5625,-81.9525,0
26.5625,-81.9535,0
26.5625,-81.9545,0
26.5625,-81.9555,0
26.5625,-81.9565,0
26.5625,-81.9575,0
26.5625,-81.9585,0
26.5625,-81.9595,0
26.5625,-81.9605,0
26.5625,-81.9615,0
26.5625,-81.9625,0
26.5625,-81.9635,0
26.5625,-81.9645,0
26.5625,-81.9655,0
26.5625,-81.9665,0
26.5625,-81.9675,0
26.5625,-81.9685,0
26.5625,-81.9695,0
26.5625,-81.9705,0
26.5625,-81.9715,0
26.5625,-81.9725,0
